area,bedrooms,age,price
800,2,20,155000
850,2,22,150000
900,2,18,165000
950,2,16,170000
1000,2,15,200000
1050,2,14,205000
1100,2,12,215000
1150,2,11,220000
1200,2,10,230000
1250,3,14,250000
1300,3,12,270000
1350,3,13,265000
1400,3,11,285000
1450,3,10,295000
1500,3,10,300000
1550,3,9,315000
1600,3,9,325000
1650,3,8,335000
1700,3,8,345000
1750,4,9,370000
1800,4,8,400000
1850,4,7,410000
1900,4,7,425000
1950,4,6,440000
2000,5,7,500000
2050,5,6,515000
2100,5,6,525000
2150,5,5,540000
2200,4,6,550000
2250,4,5,565000
2300,4,5,580000
2350,4,4,600000
2400,5,5,620000
2450,5,4,635000
2500,5,4,650000
2550,5,3,670000
2600,5,4,680000
2650,6,3,700000
2700,6,3,720000
2750,6,3,740000
2800,6,3,750000
2850,6,2,780000
2900,6,2,800000
3000,6,2,820000
3100,6,2,850000
3200,6,2,880000
3300,7,2,910000
3400,7,1,940000
3500,7,1,970000
3600,7,1,990000
3700,7,1,1020000
3800,8,1,1080000
1200,3,20,240000
1400,2,25,210000
1600,3,15,310000
1800,4,12,380000
2000,4,10,450000
2200,4,8,530000
